EDGAR Country Code;Country;Agriculture;Buildings;Fuel Exploitation;Industrial Combustion;Power Industry;Processes;Transport;Waste;Cluster
KAZ;Kazakhstan;0,0944617694305334;0,1101307624747379;0,2026593418561396;0,1325001811971332;0,333083545832633;0,0511368776533084;0,0612434361127081;0,0147840854428062;5
KEN;Kenya;0,6379048018347713;0,0604549007711064;0,0838857998974224;0,0321107479438477;0,0184566280437056;0,0402079702920364;0,0938815104409704;0,0330976407761396;1
KGZ;Kyrgyzstan;0,3448888875553629;0,1876088967593395;0,0337106493151497;0,0429394345194515;0,107318448246638;0,0436096679740003;0,1146561260163596;0,1252678896136982;7
KHM;Cambodia;0,6004258567952673;0,0422287995799891;0,0254139102791501;0,0356016764485944;0,0735271734815598;0,060738046145436;0,1285251871356398;0,0335393501343631;1
KIR;Kiribati;0,0605242004473407;0,09499216613498;0,0117365046218894;0,0857101155126831;0,1704661837502563;0,0172902179364867;0,3507580326355713;0,2085225789607922;2
KNA;Saint Kitts and Nevis;0,073946955781281;0,058152903932134;1,5464964211976327e-05;0,040621506680225;0,3634452744046365;0,012940688086605;0,2581552117629002;0,1927219943880062;2
KOR;South Korea;0,0367368133025341;0,0788542658479246;0,0731760421370719;0,1077771879742366;0,4360531644747917;0,0994546197831715;0,1410130527873022;0,0269348536929669;0
KWT;Kuwait;0,0025519546433043;0,0059102431201766;0,31805044532686;0,0919768766915042;0,302458169499631;0,1158230298706556;0,1019589238555611;0,061270356992307;4
LAO;Laos;0,3881585722363623;0,0207641486094404;0,0366637609794745;0,037839517371069;0,3192351273053271;0,0912803666988071;0,0868044436442333;0,0192540631552861;0
LBN;Lebanon;0,0254645161844364;0,0278456292389821;0,000534789370491;0,0353380658053465;0,39149956407406;0,1408183892792292;0,2661891928664835;0,1123098531809709;0
LBR;Liberia;0,1291505271643667;0,2933266592452027;0,2178690821015367;0,0256572723360361;0,0461126995663336;0,0558765650593274;0,1151330541498191;0,1168741403773773;7
LBY;Libya;0,0314454650309188;0,0168459681477616;0,3430926022142158;0,0334342763376611;0,2573744427978022;0,0779997094462851;0,2075781384330578;0,0322293975922972;4
LCA;Saint Lucia;0,0878086038546431;0,0539363583963024;0,0083514953340982;0,0367518683062222;0,3185873683139193;0,1765381720562387;0,2256057136707338;0,092420420067842;0
LKA;Sri Lanka;0,2093430233535737;0,0651126772921678;0,0026637927284434;0,0337376448807833;0,2205150225546298;0,0546485904170932;0,2818203366150268;0,1321589121582815;2
LSO;Lesotho;0,4207618679781557;0,1580575668850324;0,1127621983676961;0,0308936511430261;0,0546232473089322;0,0185845423190052;0,1430091619078645;0,0613077640902875;1
LTU;Lithuania;0,2511441525327438;0,064472135233227;0,072728607848701;0,0516850726634455;0,0733854272659996;0,203483730994738;0,2268843216281276;0,0562165518330171;5
LUX;Luxembourg;0,0611824610527929;0,1568994126045817;0,002499533864936;0,0930796965082395;0,0497074489612002;0,0627051172286155;0,5613039613490536;0,0126223684305802;7
LVA;Latvia;0,2632968756447841;0,1248849661414111;0,015493311671107;0,0652359167874115;0,1395091718342148;0,0912553379271755;0,2482455450455918;0,0520788749483039;7
MAC;Macao;0,0015392509195767;0,1115069005156126;0,0449878446732966;0,1215794861170048;0,2524493266101255;0,0325537937460816;0,4149674025202015;0,0204159948981001;7
MAR;Morocco;0,1369254825955503;0,1062359571871474;0,0063571495001193;0,0771469025141662;0,2430221208685787;0,0704065375315631;0,174122296582038;0,1857835532208367;2
MDA;Moldova;0,1578155607564903;0,1478468375502785;0,0155068049157604;0,0694688290512101;0,2904566420252897;0,0675655467265743;0,1713698559930328;0,0799699229813636;7
MDG;Madagascar;0,6596925777453272;0,0581389392843218;0,0874259458750807;0,0174601058051119;0,0432494190564788;0,028637141935855;0,0393640006387749;0,0660318696590494;1
MDV;Maldives;1,2654538681610268e-05;0,1205710588950897;0,0014485495638763;0,1113394630094011;0,223184491142126;0,0115659915173124;0,4575718241855494;0,0743059671479632;7
MEX;Mexico;0,1675707374864149;0,0515447050970536;0,1111184714494627;0,0837610248706735;0,2165139429687611;0,0894175884369363;0,2108146328423705;0,0692588968483271;5
MKD;North Macedonia;0,0981260174488156;0,0324380548437258;0,0168537233157669;0,0965721391134721;0,3928942442855809;0,1193771751541222;0,1793880554487444;0,0643505903897717;0
MLI;Mali;0,7817816986107196;0,0318153779041347;0,0190259389409646;0,0143831647945997;0,0254051513009633;0,0225165765567481;0,0680185060095026;0,0370535858823673;1
MLT;Malta;0,0296529387560096;0,0586515531580469;0,0007772566183065;0,0245443812598417;0,4695733654397424;0,0795587640428132;0,2671123814765153;0,0701293592487241;0
MMR;Myanmar/Burma;0,7176912848732087;0,0658888403370858;0,0176311067081721;0,0431830401136839;0,0471564328302704;0,0223130612425615;0,0524663987191052;0,0336698351759122;1
MNG;Mongolia;0,3824368495219415;0,0477077833361625;0,2865101999455258;0,0309955387536928;0,2014147355352964;0,007106205380583;0,036056151854195;0,0077725356726024;1
MOZ;Mozambique;0,2477426870943338;0,0695125105000365;0,3374314617134918;0,0292438968182264;0,037479279423636;0,0919039092743458;0,122112017243425;0,0645742379325044;4
MRT;Mauritania;0,5944727350274999;0,042547446548367;0,0486218903297418;0,0267934538396716;0,0473589930710285;0,0605456230830024;0,12539424075973;0,0542656173409584;1
MTQ;Martinique;0,0310257344810275;0,0561943493448738;0,0067927661427508;0,0258888043425624;0,4433455622649492;0,0646697848824484;0,3169550034064828;0,0551279951349049;0
MUS;Mauritius;0,0200387731106824;0,0365729047995732;0,0003347085237417;0,0592833577790742;0,4239985956333486;0,1763908668563157;0,191997665181308;0,0913831281159559;0
MWI;Malawi;0,3886497867307713;0,0651184378003762;0,1139883363289764;0,1345476202273333;0,1332165972277366;0,0422628371934307;0,0470177786021099;0,0751986058892654;5
MYS;Malaysia;0,0367754577249106;0,0259265603822051;0,1374461941685331;0,1125821283085537;0,3752515472189827;0,0768058978188805;0,1981734672737127;0,0370387471042213;0
NAM;Namibia;0,5934866742620069;0,0805201602622741;0,0541977525793055;0,0172861751396018;0,0049241573718993;0,0506888935352934;0,1723944368059819;0,0265017500436367;1
NCL;New Caledonia;0,0377898172033222;0,0653462828088672;0,0003630321656154;0,3504065870154941;0,2719638715434795;0,0152166856068635;0,2495375704012104;0,0093761532551475;5
NER;Niger;0,8356284035983808;0,0317106617175624;0,0155086868669209;0,0073420118983584;0,0175378694399034;0,0172508882574074;0,0359283887862059;0,0390930894352607;1
NGA;Nigeria;0,2100118328220048;0,0391376752192846;0,3859752579309587;0,0269857654331908;0,0457129643836547;0,0624022565268997;0,1484305120140922;0,0813437356699142;4
NIC;Nicaragua;0,6030784602591818;0,0598270130788787;0,0079782988827828;0,0327585023796194;0,0812199650875824;0,0329324771361544;0,1236990454591781;0,058506237716622;1
NLD;Netherlands;0,0996030094885812;0,1679944673220334;0,0802389899579762;0,1169544899066871;0,273925016992657;0,0797408301643545;0,1562183108687454;0,025324885298965;7
NOR;Norway;0,083707599865997;0,0469165341786268;0,2887125464502535;0,106780389949015;0,0349950401839393;0,1690983932113248;0,2380262991992872;0,0317631969615559;5
NPL;Nepal;0,5824471895958635;0,1279078145049194;0,0015259796630738;0,1014262643765434;3,8355706547267824e-05;0,0562260109876687;0,0768710428769725;0,053557342288411;1
NZL;New Zealand;0,5127246045477193;0,0404114609604652;0,0305738389604342;0,0733062868216711;0,0662686472553957;0,0512203840589265;0,174587357492916;0,0509074199024717;1
OMN;Oman;0,0144227826827718;0,1421527487956332;0,3393774744997822;0,109207445369112;0,1426697299412204;0,117843000607702;0,1077601595632972;0,0265666585404809;5
PAK;Pakistan;0,4659439221913119;0,0683622811058643;0,039069639418942;0,0992288393892573;0,1110856512562429;0,0656434222437051;0,103439296598864;0,0472269477958121;1
PAN;Panama;0,2309662292870166;0,0395379695644446;0,0002410127644614;0,1156111730879216;0,1829210508865154;0,075324957191409;0,2742935855287092;0,0811040216895218;5
PER;Peru;0,2332210707908321;0,0559780875609196;0,07131494998951;0,0973644405875394;0,1340220862955481;0,063505802701619;0,2621303979073932;0,0824631641666385;5
PHL;Philippines;0,2528551723736549;0,0536350367003964;0,0557902250477631;0,0646122019297464;0,2942800036135767;0,0757941790025695;0,1513096924019747;0,051723488930318;0
PLW;Palau;0,0;0,0708644154235016;0,0194004042517957;0,0511994492171121;0,2907536962574134;0,009535474155665;0,5561165169442386;0,0021300437502732;3
PNG;Papua New Guinea;0,1777027347649988;0,1135470424481417;0,1631296718100378;0,0680403009878603;0,1374762608703958;0,0250434994582963;0,2286917225834925;0,0863687670767765;7
POL;Poland;0,0951116502409571;0,1421012776158237;0,0765060719898228;0,0736579716348758;0,374954641621676;0,0736829846512697;0,1458042543464878;0,0181811478990869;0
PRI;Puerto Rico;0,0420996122299007;0,0340159040565732;0,0005715988111336;0,013384283050584;0,6523389540820542;0,0197157131745465;0,1614573168795955;0,0764166177156119;0
PRK;North Korea;0,0660882393866522;0,1259236085489103;0,1671937586339648;0,3375021690083837;0,151205765831549;0,0622383630163444;0,0400011192490961;0,0498469763250991;5
PRT;Portugal;0,1102584723670871;0,0693081844767996;0,0452494075685944;0,0881993680066087;0,221225602693903;0,1188382570504089;0,2603222006241723;0,0865985072124257;5
PRY;Paraguay;0,751646849105618;0,0147164008128339;0,0289142698196946;0,0084765670199532;6,859033389907009e-05;0,0286989489683001;0,1524141430334235;0,0150642309062772;1
PYF;French Polynesia;0,0365672337788404;0,1166122440331791;0,0014503521797488;0,1104946503548427;0,2213408880709673;0,0135680580992085;0,4557400021239261;0,0442265713592869;7
QAT;Qatar;0,0033106821658252;0,0028963117421679;0,4746434130474078;0,1237025785509285;0,1603887295573106;0,1266405741713619;0,0873496659325743;0,0210680448324235;4
REU;Réunion;0,0440499022992723;0,0808702429896904;0,0144496818580188;0,1246888816503862;0,1949483220237324;0,0464447125900229;0,4604603247951129;0,0340879317937636;7
ROU;Romania;0,1531077668400214;0,109282287881824;0,0643962256232735;0,1108166143532583;0,232328992099342;0,1191004053135818;0,1574901046310416;0,053477603257657;5
RUS;Russia;0,0479048963930781;0,0828549276589607;0,1825120620001618;0,1073644699928285;0,3586105578706159;0,0732373442653055;0,1093371694700832;0,0381785723489662;5
RWA;Rwanda;0,393181811754891;0,1474372298996121;0,1191577092631318;0,0321880752069386;0,0399830886274512;0,0431987586413291;0,0829698137903276;0,1418835128163184;1
SAU;Saudi Arabia;0,0110721585666123;0,0066007695587504;0,141089050582316;0,139703202459744;0,3193223588096631;0,1601751382867658;0,1838776703857203;0,0381596513504278;5
SCG;Serbia and Montenegro;0,0907305350084979;0,0553599738593806;0,0470636945518866;0,0657030726287494;0,546321618451616;0,0438556448335451;0,122723599166561;0,028241861499763;0
SDN;Sudan and South Sudan;0,6854434651384247;0,0294482975245619;0,0682156932812963;0,0120976046844516;0,0289208570577421;0,0228443565603566;0,0885653422977407;0,0644643834554258;1
